name,layer,kind,m,n,min_dim,base_fro,ft_fro,delta_fro,rel_fro,spectral,nuclear,stable_rank,erank_entropy,r50,r90,r95,r99,numerical_rank,sigma_max_ratio,method,sec
lm_head.weight,-1,lm_head,151936,4096,4096,649.2104226551,649.0285505506109,5.89398597717615,0.009078698941818102,3.5660229182744714,244.37962459283796,2.7318065155913414,3353.182767926956,20,1928,2809,3766,905,729.3769297228713,gram,201.42
model.embed_tokens.weight,-1,embed_tokens,151936,4096,4096,550.0750301823697,550.0488970460907,3.4085924428271532,0.0061965954747974575,0.36253546634286726,191.14026645739347,88.39936691343429,3622.545309324328,581,2548,3112,3825,4096,18.942677108550882,gram,193.1
model.norm.weight,-1,norm,4096,1,1,131.3412591961079,131.34125919824655,0.0009033792909815663,6.87810743182162e-06,,,,,,,,,,,1d,0.01
model.layers.0.input_layernorm.weight,0,input_layernorm,4096,1,1,0.7312481600824784,0.7299364509072718,0.018629314997863744,0.02547605042279634,,,,,,,,,,,1d,0.0
model.layers.0.mlp.down_proj.weight,0,down_proj,4096,12288,4096,187.32583618164062,187.30810546875,2.1144715668696934,0.011287666506500382,0.21974167227745056,107.62989001721144,92.59314780869666,3281.1326055072827,340,1926,2563,3550,4096,31.909397615780115,svd,24.69
model.layers.0.mlp.gate_proj.weight,0,gate_proj,12288,4096,4096,180.13546752929688,180.11932373046875,2.0975911535514897,0.011644520550681282,0.344630628824234,99.44223421404604,37.04537032257873,3030.2350863957945,265,1547,2155,3258,4096,224.94719389189544,svd,21.62
model.layers.0.mlp.up_proj.weight,0,up_proj,12288,4096,4096,169.760009765625,169.7448272705078,2.0976708493258784,0.012356684311116405,0.34872540831565857,98.97268434753641,36.18324418694352,3015.1998973763625,259,1528,2132,3237,4096,236.59868922964498,svd,15.31
model.layers.0.post_attention_layernorm.weight,0,post_attention_layernorm,4096,1,1,7.869883609372147,7.866242204168386,0.020473196812182213,0.0026014611941399405,,,,,,,,,,,1d,0.0
model.layers.0.self_attn.k_norm.weight,0,k_norm,128,1,1,42.29246509791531,42.2924688552711,0.0009860531263063666,2.3315101733215073e-05,,,,,,,,,,,1d,0.0
model.layers.0.self_attn.k_proj.weight,0,k_proj,1024,4096,1024,58.97813154812385,58.97218199593068,0.6023621715695269,0.010213313914124469,0.09514396767273182,15.738474564205944,40.082321202089645,846.8921135051503,95,537,687,899,1024,48.91501532949064,gram,0.75
model.layers.0.self_attn.o_proj.weight,0,o_proj,4096,4096,4096,101.2233657836914,101.214111328125,1.1921840807348052,0.01177775577313269,0.25052571296691895,48.245550825437704,22.64550569173461,2430.4900631599876,154,1056,1506,2433,4049,156704.37766619615,svd,7.65
model.layers.0.self_attn.q_norm.weight,0,q_norm,128,1,1,20.200285605845913,20.200285755898527,0.00013037115089901017,6.453926119800734e-06,,,,,,,,,,,1d,0.0
model.layers.0.self_attn.q_proj.weight,0,q_proj,4096,4096,4096,106.56937408447266,106.55963134765625,1.1870210132943422,0.0111384816087353,0.22500547766685486,49.15993608063309,27.831116698346595,2510.2076265711457,161,1168,1614,2489,4055,94688.2702722512,svd,6.34
