layer_idx,layer_name,attn_norm_full,attn_norm_branch_only,attn_norm_identity_only,attn_branch_over_full,attn_cos_full_branch,mlp_norm_full,mlp_norm_branch_only,mlp_norm_identity_only,mlp_branch_over_full,mlp_cos_full_branch
0,transformer.h.0,1.8698706302751145,6.6917123232975925e-12,0.0,3.578703368538945e-12,-0.016724733112661466,2.159156940666669,7.468019396059764e-12,0.0,3.4587663617235308e-12,0.0021514200598312634
1,transformer.h.1,1.3288687735875149,1.0193207667087884e-11,0.0,7.670590106176946e-12,0.019723201963866715,1.5866954423885586,1.8422079191856886e-11,0.0,1.1610343547798246e-11,0.009379110578161577
2,transformer.h.2,0.9985297281137008,3.339607172680706e-11,0.0,3.344524533074724e-11,-0.04294772007110505,1.2590981751364012,7.360642869385236e-11,0.0,5.845964210525394e-11,-0.05033451735325042
3,transformer.h.3,0.8633548561139338,1.5965376383282611e-10,0.0,1.84922529481617e-10,-0.054254739192145664,1.086492494178197,4.613833278693773e-10,0.0,4.246539486849922e-10,-0.023631088778220777
4,transformer.h.4,0.7567746827335428,1.1604122632997358e-09,0.0,1.5333655971526629e-09,-0.010664522224128552,0.9925910608217314,3.516824309724558e-09,0.0,3.543074734939787e-09,0.024637703942922192
5,transformer.h.5,0.6647638001908391,9.872942320590079e-09,0.0,1.4851804983598344e-08,0.0013353600678923775,0.9003986733883116,3.261316322039478e-08,0.0,3.6220803277805165e-08,-0.0018642263918112374
6,transformer.h.6,0.6197032836244257,9.975165975756215e-08,0.0,1.6096680846057473e-07,-0.02057345156747176,0.8237793438951269,3.755753195935666e-07,0.0,4.5591737930416e-07,0.0010351670014216055
7,transformer.h.7,0.5639912090244916,1.3092070438600761e-06,0.0,2.321325266974548e-06,0.031215036289943533,0.7740500162390263,5.125552643173108e-06,0.0,6.6217331382244165e-06,-0.013360467261039401
8,transformer.h.8,0.5176447432753943,1.857448095162877e-05,0.0,3.588268053124396e-05,-0.07277363521051194,0.7231483835374182,7.915750461265601e-05,0.0,0.00010946232670180632,-0.022859519093052623
9,transformer.h.9,0.5067197899563998,0.0003076776557778939,0.0,0.0006071948676099028,-0.016289534001985368,0.6828849984304586,0.0013702732850357654,0.0,0.0020065945044702967,-0.012469962254966436
10,transformer.h.10,0.4581948905704807,0.005621273864001809,0.0,0.01226830324756127,-0.0040465678934020815,0.6573122646421278,0.025769255200839766,0.0,0.039203977450306335,0.012829199866797283
11,transformer.h.11,0.43746053353894276,0.10762772549878076,0.0,0.2460284237028201,0.2215389062255777,0.6217973739190268,0.6217973739190268,0.0,1.0,0.9999999999999823
