N,bits,seed,params,mse,nmse,best_nmse,steps,success
16,4,0,82464,0.00041778519516810775,0.00043414046384456087,0.00043414046384456087,101,True
16,4,1,82464,0.0005621617892757058,0.0005424254767815738,0.0005424254767815738,101,True
16,4,2,82464,0.000683981052134186,0.0006325069516939219,0.0006325069516939219,101,True
24,4,0,82464,0.0008801992516964674,0.0008968566650053225,0.0008968566650053225,101,True
24,4,1,82464,0.0008609256474301219,0.0008305615554353472,0.0008305615554353472,101,True
24,4,2,82464,0.0010694335214793682,0.000983862133612644,0.000983862133612644,301,True
36,4,0,82464,0.0013799917651340365,0.0014076605771809168,0.0011391996646351993,5000,False
36,4,1,82464,0.0010284081799909472,0.001064945818428867,0.0010464431126776025,5000,False
36,4,2,82464,0.001841031014919281,0.001695202624388534,0.0011967240586081144,5000,False
54,4,0,82464,0.003582362551242113,0.0035132041839266246,0.0023869760205015556,5000,False
54,4,1,82464,0.002815747167915106,0.00284620371726809,0.002150894108767319,5000,False
54,4,2,82464,0.003282705321907997,0.003211404896803264,0.0021432865376608185,5000,False
81,4,0,82464,0.00413929671049118,0.004123679676095905,0.0030334602484217215,5000,False
81,4,1,82464,0.0034928061068058014,0.003568207092244513,0.003030757109169816,5000,False
81,4,2,82464,0.004205744247883558,0.004144713953902159,0.0031045268243084607,5000,False
122,4,0,82464,0.007584123872220516,0.007511122273029906,0.0052575483606295305,5000,False
122,4,1,82464,0.006618555169552565,0.006703636353435131,0.005164760036695422,5000,False
122,4,2,82464,0.009584242478013039,0.009548069890000305,0.005445759762638528,5000,False
183,4,0,82464,0.014742763713002205,0.01479701638930482,0.010489503305653613,5000,False
183,4,1,82464,0.010679873637855053,0.010949182066295476,0.010241250757724508,5000,False
183,4,2,82464,0.012027637101709843,0.012259220640760128,0.010908798814833217,5000,False
275,4,0,82464,0.02023359201848507,0.020293220199694866,0.0206266578944849,5000,False
275,4,1,82464,0.042680997401475906,0.04288180599135107,0.020141943277313962,5000,False
275,4,2,82464,0.024911269545555115,0.025242793416171222,0.021581523329804765,5000,False
413,4,0,82464,0.04531135410070419,0.04493307162704206,0.039981165543396334,5000,False
413,4,1,82464,0.041914358735084534,0.04211810057196096,0.03947880990826324,5000,False
413,4,2,82464,0.06692197918891907,0.06808214454129283,0.03986189538723619,5000,False
620,4,0,82464,0.07224847376346588,0.07249547026004304,0.06486249596660489,5000,False
620,4,1,82464,0.07887523621320724,0.07818184667473284,0.0751876682468817,5000,False
620,4,2,82464,0.08182317763566971,0.08229083686108228,0.08212116164899143,5000,False
930,4,0,82464,0.15356804430484772,0.15379933161342302,0.13896910491673456,5000,False
930,4,1,82464,0.1986096352338791,0.19941276733191443,0.1653000757764244,5000,False
930,4,2,82464,0.15947593748569489,0.1588077928502089,0.1455632313341264,5000,False
1395,4,0,82464,0.25752922892570496,0.2581411619273831,0.24511987940787186,5000,False
1395,4,1,82464,0.26946163177490234,0.269843834581174,0.2476960868900187,5000,False
1395,4,2,82464,0.2589513659477234,0.25751206746135313,0.2331967309796016,5000,False
2093,4,0,82464,0.39008575677871704,0.3932195191995801,0.36364300559160295,5000,False
2093,4,1,82464,0.39251577854156494,0.39260320458207915,0.38890912917256737,5000,False
2093,4,2,82464,0.35350191593170166,0.3508839043743811,0.3521900802924184,5000,False
3140,4,0,82464,0.5053935647010803,0.506556543405676,0.4891113693545217,5000,False
3140,4,1,82464,0.5119655132293701,0.5131983112293813,0.4989335847690697,5000,False
3140,4,2,82464,0.4977615773677826,0.49577795915041867,0.457261732158628,5000,False
