block_idx,block_name,norm_full,norm_branch_only,norm_identity_only,branch_over_full_ratio,cos_full_vs_branch
0,layer1.0,601.4819076256045,4.936453968670619e-10,0.0,8.207152877062663e-13,0.007700247183158054
1,layer1.1,409.21462099521216,3.885037892143086e-10,0.0,9.493888274799793e-13,0.02847032715471429
2,layer1.2,269.2577226560551,3.2019072252975443e-10,0.0,1.1891607764162822e-12,0.03344076356324838
3,layer2.0,303.9537303677485,4.262629179758618e-10,0.0,1.4023940994576163e-12,0.015673395796804154
4,layer2.1,202.4400814551004,3.427981163583033e-10,0.0,1.693331250878464e-12,0.012127026599773631
5,layer2.2,136.2218891893703,2.8541887317813453e-10,0.0,2.0952497052904358e-12,0.007918656126318153
6,layer2.3,97.39796255406276,2.6941388206363393e-10,0.0,2.7661141465263214e-12,0.0030189488294345237
7,layer2.4,72.61088130663704,2.7685215358597984e-10,0.0,3.812819078959093e-12,0.004551065222125516
8,layer2.5,56.99084896833171,3.110709417750772e-10,0.0,5.458261236780856e-12,0.01217723717556006
9,layer2.6,44.75131702463683,3.765797046735591e-10,0.0,8.41494127348792e-12,0.0015137506975270883
10,layer2.7,37.006457520043035,4.813320023724641e-10,0.0,1.3006703008840288e-11,0.0012167979529072472
11,layer3.0,58.142959674499444,8.983124322564357e-10,0.0,1.5450063727155277e-11,0.0033843085184210135
12,layer3.1,38.94298029189524,7.174818768673497e-10,0.0,1.8423907761796828e-11,0.0063301171039289944
13,layer3.2,26.488215788330756,6.105885614215373e-10,0.0,2.3051328420939885e-11,0.0009484718065482558
14,layer3.3,19.16555016735867,5.642194241713749e-10,0.0,2.9439250073410945e-11,0.010558060439524376
15,layer3.4,14.467163211516896,5.821458073150337e-10,0.0,4.0239112450988595e-11,0.010685728072726998
16,layer3.5,11.132433623890151,6.4991756878963e-10,0.0,5.838054739395975e-11,-0.003318532162008737
17,layer3.6,8.819710416183302,7.817739021381799e-10,0.0,8.863940710612239e-11,1.4734179407139845e-05
18,layer3.7,7.212925477044658,9.998831835167575e-10,0.0,1.3862380620719212e-10,0.0009183435556511495
19,layer3.8,6.086799491310117,1.34782880262056e-09,0.0,2.214347301147018e-10,-0.001125497425255073
20,layer3.9,5.009386766105362,1.8924480126985784e-09,0.0,3.777803753352221e-10,-0.004488816541739072
21,layer3.10,4.304322916351455,2.81306821019244e-09,0.0,6.535448814739318e-10,-0.009010904564126657
22,layer3.11,3.7269021996266023,4.328119623385419e-09,0.0,1.1613182722688706e-09,-0.009214417514149798
23,layer3.12,3.2199407003178524,6.790926816746166e-09,0.0,2.1090223233228513e-09,0.00014889408016753437
24,layer3.13,2.82538718813989,1.122887303861957e-08,0.0,3.974277609014064e-09,-0.0022512272449694156
25,layer3.14,2.5134297484018293,1.9211689078758163e-08,0.0,7.643614901500216e-09,-0.007131161942854544
26,layer3.15,2.2158826782969587,3.3598184988561465e-08,0.0,1.5162438570251258e-08,-0.0032305870696714093
27,layer3.16,2.0068850947490215,6.148761998121767e-08,0.0,3.0638336067221243e-08,-0.003165532596176537
28,layer3.17,1.8000504497820136,1.1332511812954921e-07,0.0,6.295663443392539e-08,0.0013231300576634433
29,layer3.18,1.6177882495257576,2.1594442246775376e-07,0.0,1.334812652589461e-07,-0.00470175157876443
30,layer3.19,1.4925289218080122,4.214341038163784e-07,0.0,2.8236243710832995e-07,-0.00862865623440089
31,layer3.20,1.3482700712460127,8.410681901384032e-07,0.0,6.238128458648677e-07,0.009022737328170065
32,layer3.21,1.2379555672541676,1.7332453429023138e-06,0.0,1.400086876095818e-06,0.007624052410100441
33,layer3.22,1.1399515129120268,3.6355290730138893e-06,0.0,3.1891962349581556e-06,0.0027693687810343053
34,layer3.23,1.059266781445429,7.682169650167561e-06,0.0,7.252346419930972e-06,0.0009130364248429226
35,layer3.24,0.9698202363529397,1.6639034048528433e-05,0.0,1.7156822908852056e-05,-0.0008076769419398897
36,layer3.25,0.9091972392945353,3.697888359233995e-05,0.0,4.067201482159429e-05,0.003730039121013144
37,layer3.26,0.8426408367942544,8.410181764362064e-05,0.0,9.980743155479846e-05,-0.005269055661421424
38,layer3.27,0.7868049618332356,0.0001911954732165288,0.0,0.0002430023735120432,-0.0048593887160226085
39,layer3.28,0.7366540346080341,0.0004522428946777485,0.0,0.0006139149090772063,-0.004010352481916507
40,layer3.29,0.6903192312398349,0.0010646631906326843,0.0,0.0015422765909628739,-0.002803072076993985
41,layer3.30,0.6515217262624292,0.0025597454503528522,0.0,0.003928871973368086,-0.005435580637235069
42,layer3.31,0.6061250208710315,0.006263285942357668,0.0,0.010333323533413978,0.013859619806843191
43,layer3.32,0.5787958999600725,0.015730104682336887,0.0,0.027177291137380218,0.02290689446848812
44,layer3.33,0.5397599861910505,0.03946015943709149,0.0,0.07310686313661714,0.07358462487422664
45,layer3.34,0.5156014134213869,0.1011673107028737,0.0,0.19621224470964055,0.1937009818430728
46,layer3.35,0.49888373749781567,0.2682760875594041,0.0,0.5377527215157594,0.5447797843598563
47,layer4.0,1.5255684676529562,1.0020064903344532,0.0,0.6568086005841559,0.6709191852432533
48,layer4.1,1.0325427290231814,0.8116736792795061,0.0,0.786092097173911,0.7958301115774344
49,layer4.2,0.7076004591693984,0.7076004591693984,0.0,1.0,1.0000000000000095
